Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
1197,206,2019-07-30 21:27:58,"Thankful for your support, @standwithraul. I’m ready to fight my heart out for working families and make sure our country works for everyone—not just the wealthy and well connected. https://t.co/vIHKlZAYX5",Elizabeth Warren
1782,326,2019-07-30 21:10:13,"This fight is about a brighter future for Native communities, for New Mexico, and for our country. Humbled to fight alongside a trailblazer and friend like @Deb4CongressNM. https://t.co/xeznmMS0hj",Elizabeth Warren
918,146,2019-07-30 20:51:27,"It was great talking with @Jaden_Reports after last night’s town hall in Toledo. He had some important questions for me, and I answered. Keep up the great work—you’ve got a bright career ahead of you in the newsroom! https://t.co/i20abBKLrz",Elizabeth Warren
10287,999,2019-07-30 20:24:50,I’m jazzed up for the #DemDebate tonight! https://t.co/IO6iOLuzvu,Elizabeth Warren
10488,1750,2019-07-30 19:45:22,"I got to live my dream of becoming a teacher because an affordable higher education opened a million doors for me.

But chances like the ones I got don't exist anymore. My plan for universal free public college and cancelling student debt would create new opportunities for all. https://t.co/cY9GGiyvAq",Elizabeth Warren
1651,340,2019-07-30 18:38:20,"In this primary, we have an opportunity to make a real difference in the way campaigns are funded. It’s why I’m fighting my heart out to cut dark money out of politics—and why my campaign is 100% grassroots-funded. https://t.co/0UPemH0B8x",Elizabeth Warren
7186,2370,2019-07-30 18:01:33,"The #GOPTaxScam wasn’t reform—it was a heist. It showered corporations and the wealthy in tax giveaways and kicked everyone else to the curb. I’ve proposed real reform to ensure the wealthiest Americans and corporations pay their fair share.
https://t.co/4IZmooXhld",Elizabeth Warren
2243,401,2019-07-30 17:07:03,One of the best parts of my trip to Detroit in June was reading your hand-written notes about what got you into this fight. Your stories keep me going—and I’m glad to be back in Detroit for the second #DemDebate! https://t.co/RxuXpZJnj6,Elizabeth Warren
1527,367,2019-07-30 16:34:30,"I stand in solidarity with the people of Anchorage, Alaska who are fighting to make their voices heard against extreme budget cuts that could hurt the people of their state. https://t.co/wH7rxCWzg2",Elizabeth Warren
871,143,2019-07-30 15:25:04,"I’m grateful for the opportunity last night to talk with the people of Toledo about big, structural change—including my new plan to make our trade policy actually work for American families. https://t.co/URFdIGBThA",Elizabeth Warren
1604,298,2019-07-30 14:27:46,"I don’t spend my time chasing big checks from wealthy donors and special interest groups—so I have time to make thank you calls to as many grassroots donors as I can. Chip in $3 now to help build our movement, and I might give you a call to say thanks! https://t.co/EMlFh2VxHT",Elizabeth Warren
2267,630,2019-07-30 03:15:27,"For decades, America’s trade policy has worked great for the rich and the powerful. American workers? Not so much. Tonight in Toledo, I talked about our need for trade policy that favors the American people, not multinational corporations. https://t.co/Eqcvp839B8",Elizabeth Warren
12159,1160,2019-07-30 02:09:30,"40,000—and counting! Grateful for each and every one of you. https://t.co/k2vv8JUgXN",Elizabeth Warren
2212,599,2019-07-30 00:44:41,"Powerful corporate interests have poured gigantic sums into capturing our courts. We need judges who value justice for all, not just for the rich and powerful. https://t.co/ELOhzkSN17",Elizabeth Warren
7554,1574,2019-07-29 23:45:05,"No student should live in fear of discrimination. As president, I will not only fight my heart out for LGBTQ+ students' rights, I will nominate a former public school teacher as education secretary. We need a leader who will actually fight for our kids. https://t.co/eAssxYgC5C",Elizabeth Warren
