text,weight
people,6887
like,5916
pay,5062
need,4058
trump,3938
know,3695
amp,3654
want,3640
think,3562
work,3335
daddy,3201
right,3032
good,2838
well,2829
year,2800
country,2711
war,2694
issue,2650
time,2610
gun,2549
money,2420
vote,2416
support,2295
never,2192
teacher,2175
president,2034
stop,2026
thing,1930
socialist,1804
way,1779
talk,1752
care,1727
come,1714
try,1694
government,1660
use,1644
job,1627
look,1570
free,1553
mean,1547
