text,weight
people,4933
like,4656
trump,4607
need,3360
amp,3348
think,3109
know,3035
want,2843
gun,2739
president,2665
good,2329
right,2326
vote,2215
well,1970
time,1965
lie,1965
country,1889
war,1843
stop,1829
candidate,1739
american,1710
never,1638
tell,1600
white,1592
plan,1590
use,1585
thing,1576
work,1554
support,1545
first,1541
way,1525
talk,1485
liz,1450
look,1449
love,1422
let,1411
year,1386
policy,1386
come,1380
debate,1378
