Date,Favorite,ID,Retweet,Text
2019-07-30 19:08:01,647,1156280302739828742,188,".@JoyceWoodhouse and @sandra4nv are leaders on education, gun safety, and are members of the country's first female-majority legislature. Looking forward to standing alongside them as we fight for Nevada and the American people.
https://t.co/oHTA34TMNk"
2019-07-30 18:00:19,0,1156263266634649600,4057,"RT @AOC: A Green New Deal is more than switching to renewables.

It’s about paying attention to frontline communities: everyday people whos…"
2019-07-30 16:18:02,5769,1156237525603770368,1158,"In honor of President Johnson signing Medicare into law on this day in 1965, let's reaffirm our commitment and ensure all Americans have comprehensive health care. I was proud to lay out my #MedicareforAll plan this week so we can ensure everyone has access to the care they need."
2019-07-30 14:47:20,1312,1156214698884419586,395,"Your stories have helped me develop my Medicare for All plan. Nothing is more personal than your health care.

Share your health care story here and we'll highlight some throughout the week. https://t.co/jbSxhzqu0d https://t.co/XVQAZBsrbT"
2019-07-30 01:26:02,15135,1156013044566122501,2302,"When I’m president, the middle class and working Americans will not bear the brunt of the burden of paying for Medicare for All. It’s time we ask those at the very top and on Wall Street to start contributing more to America’s health."
2019-07-29 23:52:00,4214,1155989382962147328,1054,"Right now, the U.S. spends $3.5 trillion a year on health care. 

If we do nothing over the next decade, that number will skyrocket to an estimated $6 trillion. 

We can’t afford the status quo. That’s why I’ve proposed my Medicare for All plan.
https://t.co/6QVwhMkAzI"
2019-07-29 23:19:03,0,1155981091380973571,153,"RT @hesterleyser: This campaign isn’t just #ForThePeople, it’s by the people. Shout-out to our incredible volunteers for hosting their own…"
2019-07-29 21:44:57,6647,1155957410319622145,1282,"Mass shootings keep happening in our country. It’s tragic. We need a president who will take action to ensure no other family experiences this type of deep pain. 
https://t.co/QnnXv9dfXM"
2019-07-29 20:45:57,0,1155942560050733056,523,RT @SEIU: .@KamalaHarris’s “Medicare for All” plan recognizes that working people should not have to sacrifice wages for better healthcare…
2019-07-29 20:42:01,1679,1155941569419079680,378,"Imagine changing jobs and not having to worry about your health care coverage. Imagine going to the pharmacy and not having to worry about an outrageous price increase on the prescription drug you need. 

This is possible with my Medicare for All plan.
https://t.co/Iak0dOdKDY"
2019-07-29 20:20:29,2420,1155936150474973185,688,"My Medicare for All plan will provide health care for every American, while protecting families making less than $100,000 from higher taxes. We must act now. https://t.co/fWyls2CSMx"
2019-07-29 18:42:00,2733,1155911368152932357,693,"In our America, health care should be a right, not a privilege only for those who can afford it. My Medicare for All plan will make sure cost is not a barrier to care. 
https://t.co/XjrOU9rePZ"
2019-07-29 16:15:12,5096,1155874422236033024,1566,"7 million people have lost their health insurance during Trump’s presidency.

21 million are at risk of losing coverage as this Administration and Republicans try to overturn the Affordable Care Act in the courts.

My Medicare for All plan ensures all Americans are covered."
2019-07-29 15:04:07,0,1155856534984937474,1129,RT @neeratanden: This is really great. @kamalaharris has an excellent transition to a Medicare for All that is based on the actual Medicare…
2019-07-29 15:03:58,0,1155856497500446723,497,"RT @TopherSpiro: The Harris plan is essentially ""Medicare for all who want it"" to build a smooth, natural pathway to Medicare for All. 
htt…"
2019-07-29 15:03:40,0,1155856422082621440,960,"RT @ASlavitt: BREAKING: Harris puts forward a credible plan to cover all Americans that is a mix of ideology &amp; pragmatism.

Democratic plan…"
2019-07-29 14:18:02,11817,1155844936580947978,2383,"My Medicare for All plan will cover:
✅Trips to the ER
✅Doctor visits
✅Vision
✅Dental
✅Hearing aids
✅Mental health
✅Substance abuse treatment
✅Comprehensive reproductive health care"
2019-07-29 13:11:07,11802,1155828099357052929,2527,".@TheRevAl has spent his life fighting for what's right and working to improve our nation, even in the face of hate. It's shameful, yet unsurprising that Trump would continue to attack those who have done so much for our country."
2019-07-29 10:15:07,4170,1155783806391115776,1167,"Today, I’m announcing my Medicare for All plan. We’ve reached a crisis point for health care in America and it’s time we finally fix this broken system for good.
https://t.co/Z1R24lZg6S"
2019-07-29 03:06:53,9509,1155676038900396033,2220,"Simply horrific. I'm grateful to the first responders who are on the scene in Gilroy, and my thoughts are with that community tonight. Our country has a gun violence epidemic that we cannot tolerate. https://t.co/WqWNxGAQnA"
2019-07-29 01:28:00,22255,1155651153704693760,4394,"As teachers prepare to go back to school, many are asking friends and family to help fund classroom supplies — even digging into their own pockets to provide for their students. It shouldn’t be like this. Teachers must have the resources they need to do their jobs."
2019-07-28 23:05:01,1402,1155615171324387334,382,"Denver, I’m headed your way for a rally on August 2. I look forward to laying out my vision for the future of our nation and listening to people about the issues that matter to them. RSVP now:
https://t.co/3pOlT7lofl"
2019-07-28 21:34:01,2160,1155592269006868489,401,Student loan relief for Pell Grant recipients is just one component of our plan to reduce the opportunity gap for Black entrepreneurs—along with $12 billion in direct capital. We can ensure Black entrepreneurs have a real shot at starting small businesses. https://t.co/ldwuC9RiIE
2019-07-28 21:34:01,2958,1155592267668832261,431,"I want to thank everyone for your feedback and clarify some confusion. We have an opportunity gap in our country, and one thing we need to do is support Black entrepreneurs. I have a plan to do that on multiple fronts."
2019-07-28 19:18:00,3184,1155558040562733056,571,"In 2016, I was proud to join two cases supporting transgender rights that opposed North Carolina’s hateful so-called “bathroom bill.” These laws only serve to attack transgender and non-binary people. As president, I will defend the dignity and rights of the trans community."
2019-07-28 17:41:01,883,1155533631600889858,227,"Your support means so much. Every contribution you give means we can hire more organizers on the ground and connect with undecided voters in targeted states. If you’re able, please consider donating today.
https://t.co/UYN3PFxmkt"
2019-07-28 15:21:00,6531,1155498398100938753,1484,"Powerful words from Victor Blackwell.
https://t.co/KlaDPkD7dy"
2019-07-28 14:24:21,12683,1155484141720350720,2441,"Two years ago, millions of Americans called, wrote letters, and organized together to save health care. Never forget: your actions make a difference. Our democracy is stronger when we raise our voices together."
2019-07-28 02:33:00,11723,1155305122911723526,2503,"Yesterday I announced that, as president, I’ll establish a student loan debt forgiveness program for Pell Grant recipients who start a business that operates for three years in disadvantaged communities. 
https://t.co/ldwuC9RiIE"
2019-07-28 01:09:00,9555,1155283983871238145,1987,"Unions brought us to the eight-hour workday, the five-day workweek, sick leave, and vacation time.

Workers should never be made to fight for their case alone. They should be able to organize and stand together. #UnionStrong"
2019-07-27 23:07:00,0,1155253281805021196,279,RT @SEIU: Working people should not have to choose between paying for medication or paying the rent. @KamalaHarris pledges to put “people o…
2019-07-27 22:06:00,5275,1155237931868663808,1060,Nearly 1 in 4 Black Americans who earn bachelor's degrees in science and engineering graduate from HBCUs—yet HBCUs remain under-resourced across our country. Let’s ensure HBCUs have the resources to invest in STEM education and research.
2019-07-27 20:35:01,2651,1155215031463796743,512,I stand in solidarity with the hundreds of Alaska ferry workers who are currently on strike. Alaskans deserve safe transportation options and the Inland Boatmen's Union and its members deserve fair wages and safe working conditions.
2019-07-27 19:52:02,0,1155204215792373760,96,RT @oliviastitilis: Huge thank you to @UWSN for having our @KamalaHarris team join you at your Stuff the Bus event to organize and pack sch…
2019-07-27 19:36:00,28145,1155200181790478336,4405,"It’s time to legalize marijuana at the federal level. 
https://t.co/Y1elBavbVK"
2019-07-27 17:07:01,683,1155162686902153216,194,"Our team has set an ambitious fundraising goal before next week’s debate and we need your help to reach it. Add a donation today of whatever amount is meaningful to you. Every contribution helps power the movement we’re building together.
https://t.co/7GRYYDyLP1"
2019-07-27 15:29:02,52538,1155138030379982848,7925,I am proud our campaign headquarters is in Rep. Elijah Cummings' district. Baltimore has become home to my team and it's disgraceful the president has chosen to start his morning disparaging this great American city.
2019-07-27 13:33:31,8117,1155108960896204801,1659,Sometimes Kyrah feels like she doesn’t belong. I have a message for her and anyone else that feels that way: you belong. https://t.co/jvjo9o4qGU
2019-07-27 01:02:01,5928,1154919838797746176,419,I love being an auntie. Happy National Aunt &amp; Uncle’s Day! https://t.co/VkfALMNgso
2019-07-27 00:19:45,12393,1154909199786225664,3000,Congress did not appropriate these funds for Trump's medieval vanity project. Let's be clear: Trump's wall has never been about keeping the American people safe. https://t.co/tlZ9GRp7Wd
2019-07-26 23:02:00,2778,1154889634452783105,676,"On her @Spotify podcast, @jemelehill asked me, “Do you think Donald Trump is afraid to debate you?” https://t.co/3cOE3JuKL2"
2019-07-26 21:15:04,5566,1154862726298161154,1128,"When elected president, I’ll invest $12 billion in Black entrepreneurs by increasing access to credit and capital through direct federal grants. Together, we can create opportunity for Black entrepreneurs to grow the small business engine of our economy."
2019-07-26 19:30:12,8933,1154836333531189255,1886,"Parents shouldn’t have to buy a bulletproof backpack for their child just to keep them safe at school. 

This shouldn’t be normal. 

I will take action to protect our kids.
https://t.co/XQBLR1MzOE"
2019-07-26 18:21:00,13344,1154818918504128513,2923,Trump tells people to go back to where they came from. We're not going back. We're going to the White House. https://t.co/MwLK1h3pKQ
2019-07-26 17:40:04,1388,1154808616660152320,440,"More than 4 in 5 Native American and Alaska Native women have experienced violence, and more than half have suffered sexual violence. We need to stop this. 
https://t.co/2JY9pMalaO"
2019-07-26 17:12:07,2869,1154801582913085440,602,"Today I’m excited to announce that as president, I will invest more than $70 billion in HBCUs and Black entrepreneurship. By taking these challenges on, we don’t just move Black America forward, we move all of America forward.
https://t.co/ENi7nRAfkP"
2019-07-26 15:21:00,938,1154773621837094914,145,"Congratulations, @lilmsg14! Thrilled to have you on the team fighting #ForThePeople.
https://t.co/Q0C8TAyNiF"
2019-07-26 14:18:57,2647,1154758004719456256,682,"Twenty-nine years ago, the Americans with Disabilities Act was signed into law. We still have a lot of work to do to ensure that every American lives in a fully inclusive and accessible society. 
https://t.co/k1kz92ObBk"
2019-07-26 02:32:00,4260,1154580095912304640,830,"Health equity for Black women can only happen if we address persistent biases in our health system. That’s why I was the first to introduce a plan to tackle maternal mortality. As president, I’ll pass the Maternal CARE Act to help states to deliver high-quality care."
2019-07-26 01:38:00,60319,1154566505868275712,7173,"As president, I will give Congress 100 days to get their act together and pass reasonable gun safety laws. If they don’t, I will take executive action. Thoughts and prayers are not enough. We need action."
2019-07-26 00:46:56,1009,1154553654625615874,241,"With @ricardorossello's resignation, Puerto Rico can now begin to move forward and heal. But let’s speak truth, Puerto Rico has been suffering long before the hurricanes of 2017 and recent corruption scandals.
https://t.co/GBUrnbzhA8"
2019-07-26 00:02:00,2533,1154542348312797184,801,"Sov and his wife Jessica received a bill for over $540K for dialysis care. That's more than the cost of a typical kidney transplant. How many more people need to risk bankruptcy before we fix our broken system? 
https://t.co/ykTlaqugru"
2019-07-25 22:13:09,10847,1154514952964771840,2711,We need equal pay now. https://t.co/B45N535wrD
2019-07-25 21:19:01,1336,1154501329538211843,311,"Denver, I’m headed your way August 2 to share my vision for how we can solve the problems that keep Americans up at night. Hope to see you there!
https://t.co/HLsx7JawQE"
2019-07-25 20:23:02,21371,1154487240879304704,5898,"Russia attacked our elections once and they will try again. 

So why won’t Mitch McConnell bring up our Secure Elections Act for a vote? 
https://t.co/defoHBM0pk"
2019-07-25 20:15:02,0,1154485228645343245,357,"RT @Essence: .@KamalaHarris to Black America: ""We need a president who understands Black history and American history are one and the same.…"
2019-07-25 19:11:03,3011,1154469127077036032,587,"The War on Drugs disproportionately impacted communities of color. My new bill would ensure that as marijuana becomes legal, people negatively affected by marijuana criminalization have a real opportunity to participate in this growing industry."
2019-07-25 16:27:04,48405,1154427858921693184,10071,Today would have been Emmett Till’s 78th birthday. Yet his life was cut short when he was just 14. Lynching is still not considered a federal hate crime to this day. I have a bill to make it one. It's time we confronted this dark part of our nation's history and right this wrong.
2019-07-25 15:17:15,38903,1154410289737228295,8386,"This morning, the Department of Justice announced they would resume capital punishment. Let me be clear: capital punishment is immoral and deeply flawed. Too many innocent people have been put to death. We need a national moratorium on the death penalty, not a resurrection."
2019-07-25 01:26:00,58275,1154201098275762177,12522,"The federal minimum wage:
April 1, 1990: $3.80
April 1, 1991: $4.25
October 1, 1996: $4.75 
September 1, 1997: $5.15 
July 24, 2007: $5.85 
July 24, 2008: $6.55 
July 24, 2009: $7.25 

Ten years later &amp; the federal minimum wage hasn't moved from $7.25. This is why I #FightFor15."
2019-07-24 23:37:00,6268,1154173666382372864,1298,I know a rap sheet when I see one. We are going to prosecute the case against four more years of the Trump Administration. https://t.co/ee6Q5VgmeQ
2019-07-24 21:27:14,2602,1154141009418293248,578,"It's wrong that people who were selling marijuana and are now felons for life are excluded from this industry. It's wrong, and it has to change. https://t.co/HB7qqubC7B"
2019-07-24 21:08:00,0,1154136171997540357,137,"RT @MissAmerica: “‘Yes, we know you’re the ninth Black Miss America...but why are we still counting? Do we need to still count?’” Franklin…"
2019-07-24 19:25:04,10756,1154110264905752576,2635,"White supremacy is rising around the globe and it's past time we did something about it.
https://t.co/L3PMYtFOlq"
2019-07-24 17:41:00,3370,1154084079018696706,1044,"After slashing taxes for wealthy corporations, the Trump Administration plans to gut nutritional assistance from millions of people who need our help the most. This is shameful. 
https://t.co/Yw9xbZedZW"
2019-07-24 16:06:29,0,1154060290377551872,486,"RT @NAACP: #NAACPConvention ""The current Attorney General misled the America people on the Mueller report. He was an intervening factor bet…"
2019-07-24 16:06:02,0,1154060176690950146,118,"RT @DerrickNAACP: ""We must look in the mirror and ask ourselves a question. Who are we? We must fight for the best of who we are. This is n…"
