text,weight
trump,8210
obama,4953
people,4908
like,4798
amp,4502
president,4207
need,4149
know,3994
want,3251
think,3208
good,2996
vote,2980
year,2913
time,2905
well,2594
candidate,2453
right,2417
debate,2379
stop,2303
attack,2261
country,2208
work,2004
win,1845
gun,1802
care,1799
look,1785
thing,1756
way,1744
come,1715
america,1703
great,1702
talk,1701
white,1611
never,1603
try,1592
let,1580
run,1535
support,1513
change,1457
thank,1455
